,id,district,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area
127,21615,Villaverde,110.0,2,2,135000,1227
128,21614,Los Ángeles,90.0,3,2,195000,2167
129,21613,Los Rosales,60.0,2,1,126900,2115
130,21612,Los Ángeles,54.0,2,1,136400,2526
131,21611,San Andrés,80.0,3,1,145000,1812
132,21610,San Andrés,73.0,2,1,127500,1747
133,21609,San Andrés,122.0,3,2,179000,1467
134,21608,Butarque,98.0,3,2,266122,2716
135,21607,Butarque,97.0,3,2,261989,2701
136,21606,Butarque,111.0,3,2,297621,2681
137,21605,Butarque,99.0,3,2,251569,2541
138,21604,Villaverde,77.0,3,1,113500,1474
139,21603,San Andrés,85.0,3,1,138000,1624
140,21602,Butarque,90.0,3,2,225000,2500
141,21601,Los Rosales,133.0,2,1,264000,1985
142,21600,Los Rosales,60.0,3,1,98260,1638
143,21599,Butarque,133.0,3,3,275000,2068
144,21598,San Andrés,85.0,2,1,124000,1459
145,21597,Los Ángeles,59.0,2,2,164513,2788
146,21596,Los Ángeles,59.0,2,2,164416,2787
147,21595,Los Ángeles,58.0,2,2,165435,2852
148,21594,Los Ángeles,79.0,3,2,202629,2565
149,21593,Los Ángeles,60.0,2,2,164242,2737
150,21592,Los Rosales,121.0,3,2,260000,2149
151,21591,San Andrés,126.0,3,2,294900,2340
152,21590,San Andrés,134.0,4,2,319900,2387
153,21589,San Andrés,111.0,3,2,259900,2341
154,21588,San Andrés,122.0,3,2,285900,2343
155,21587,San Andrés,125.0,3,2,289900,2319
156,21586,San Andrés,102.0,2,2,249900,2450
157,21585,Butarque,104.0,3,2,273352,2628
158,21584,San Cristóbal,66.0,3,1,104900,1589
159,21583,San Andrés,95.0,2,1,155000,1632
160,21582,San Cristóbal,74.0,3,1,100000,1351
161,21581,Butarque,97.0,2,1,210000,2165
162,21580,San Andrés,90.0,2,2,240000,2667
163,21579,San Andrés,130.0,4,2,257000,1977
164,21578,San Andrés,49.0,2,1,84000,1714
165,21577,Los Rosales,151.0,3,2,314000,2079
166,21576,San Cristóbal,69.0,3,1,107000,1551
167,21575,Butarque,170.0,3,2,325000,1912
168,21574,Los Rosales,48.0,2,1,89000,1854
169,21573,Los Rosales,98.0,3,2,284900,2907
170,21572,San Andrés,50.0,1,1,135000,2700
171,21571,San Andrés,136.0,3,2,230000,1691
172,21570,Villaverde,80.0,3,1,163000,2038
173,21569,San Andrés,95.0,3,1,185000,1947
174,21568,Villaverde,56.0,3,1,80000,1429
175,21567,Los Rosales,43.0,1,1,84000,1953
176,21566,Villaverde,72.0,3,1,119900,1665
177,21565,Villaverde,100.0,4,2,154900,1549
178,21564,Villaverde,70.0,3,1,119900,1713
179,21563,Villaverde,60.0,2,1,79900,1332
180,21562,Villaverde,60.0,2,1,79900,1332
181,21561,Villaverde,91.0,3,2,129900,1427
182,21560,Villaverde,74.0,3,1,99900,1350
183,21559,Butarque,110.0,3,2,275000,2500
184,21558,San Andrés,83.0,3,1,91500,1102
186,21556,San Andrés,65.0,2,1,86860,1336
187,21555,Butarque,58.0,3,1,105000,1810
188,21554,Butarque,115.0,3,2,216000,1878
189,21553,San Andrés,82.0,3,1,120000,1463
190,21552,San Andrés,83.0,3,1,135000,1627
191,21551,Butarque,90.0,2,1,212000,2356
192,21550,San Cristóbal,95.0,2,2,184000,1937
193,21549,San Andrés,89.0,3,1,160000,1798
194,21548,Los Rosales,178.0,4,2,299990,1685
195,21547,Los Rosales,59.0,2,1,117000,1983
196,21546,Los Ángeles,100.0,4,1,165000,1650
197,21545,San Andrés,68.0,3,1,95000,1397
198,21544,Villaverde,50.0,2,1,106000,2120
199,21543,Villaverde,114.0,4,2,229000,2009
200,21542,San Andrés,81.0,3,2,155000,1914
201,21541,Butarque,91.0,2,2,228208,2508
202,21540,Butarque,95.0,3,1,100000,1053
203,21539,Villaverde,80.0,3,1,140000,1750
204,21538,San Andrés,60.0,2,1,105000,1750
205,21537,Los Ángeles,80.0,3,1,165000,2062
206,21536,San Cristóbal,60.0,2,1,73000,1217
207,21535,San Andrés,50.0,1,1,159000,3180
208,21534,Villaverde,136.0,3,1,135990,1000
209,21533,Los Ángeles,96.0,2,2,210000,2188
210,21532,Los Rosales,71.0,2,2,198000,2789
211,21531,Los Rosales,74.0,2,1,139900,1891
212,21530,San Cristóbal,65.0,2,1,110000,1692
213,21529,Villaverde,93.0,3,1,160000,1720
214,21528,San Andrés,75.0,3,1,103000,1373
215,21527,Los Rosales,63.0,3,1,100000,1587
216,21526,Villaverde,65.0,3,1,90000,1385
217,21525,San Andrés,115.0,3,1,154900,1347
218,21524,San Cristóbal,63.0,2,1,82260,1306
219,21523,Villaverde,72.0,3,1,139400,1936
220,21522,San Andrés,100.0,2,2,154900,1549
221,21521,San Andrés,90.0,3,2,155000,1722
222,21520,San Cristóbal,66.0,3,1,88000,1333
223,21519,Los Ángeles,102.0,3,2,225000,2206
224,21518,Villaverde,105.0,2,1,189000,1800
225,21517,Los Rosales,95.0,4,1,138000,1453
226,21516,Los Ángeles,120.0,3,1,195000,1625
227,21515,Butarque,90.0,3,2,222000,2467
228,21514,Los Rosales,64.0,3,1,80500,1258
229,21513,Los Ángeles,80.0,3,1,182000,2275
230,21512,San Andrés,120.0,3,2,295000,2458
231,21511,Los Ángeles,82.0,2,2,270000,3293
232,21510,Butarque,81.0,3,1,116100,1433
233,21509,Los Rosales,103.0,3,2,250000,2427
234,21508,Villaverde,63.0,3,1,79900,1268
235,21507,San Cristóbal,70.0,3,1,99000,1414
236,21506,San Cristóbal,60.0,3,1,74550,1242
237,21505,Villaverde,45.0,2,1,105000,2333
238,21504,Los Rosales,95.0,3,1,130000,1368
239,21503,Los Rosales,70.0,3,1,120000,1714
240,21502,Los Rosales,71.0,3,1,149000,2099
241,21501,Los Rosales,70.0,3,1,135000,1929
242,21500,Los Rosales,98.0,4,2,230000,2347
243,21499,Los Ángeles,55.0,3,1,91000,1655
244,21498,Los Rosales,115.0,4,1,184900,1608
245,21497,San Andrés,78.0,3,1,127000,1628
246,21496,San Cristóbal,68.0,3,1,83900,1234
247,21495,San Andrés,120.0,3,1,180000,1500
248,21494,San Cristóbal,64.0,3,1,76000,1188
249,21493,Los Ángeles,92.0,4,1,163000,1772
250,21492,Butarque,154.0,3,2,280000,1818
251,21491,Los Rosales,105.0,3,2,180000,1714
252,21490,Villaverde,70.0,2,1,128000,1829
253,21489,Villaverde,93.0,3,1,166200,1787
254,21488,Los Rosales,53.0,3,1,114300,2157
255,21487,Villaverde,86.0,3,1,129000,1500
256,21486,Villaverde,75.0,3,2,132000,1760
257,21485,Villaverde,85.0,3,1,135000,1588
258,21484,Villaverde,65.0,2,1,99000,1523
259,21483,Los Rosales,53.0,3,1,114300,2157
260,21482,San Cristóbal,68.0,3,1,88000,1294
261,21481,Los Ángeles,75.0,3,1,110000,1467
262,21480,San Andrés,83.0,2,1,146000,1759
263,21479,San Andrés,95.0,3,1,112000,1179
264,21478,San Cristóbal,30.0,1,1,59000,1967
265,21477,Butarque,53.0,1,1,146000,2755
266,21476,Butarque,125.0,3,3,275000,2200
267,21475,Villaverde,153.0,4,2,178000,1163
268,21474,Villaverde,86.0,3,1,129000,1500
269,21473,San Cristóbal,66.0,2,1,96000,1455
270,21472,San Cristóbal,63.0,3,1,82000,1302
271,21471,Los Rosales,59.0,2,1,126900,2151
272,21470,Villaverde,95.0,3,1,199000,2095
